model,quantity
26220,{'stock': 'LARGE QUANTITY'}
27322,{'stock': 'LARGE QUANTITY'}
27543,{'stock': 'LARGE QUANTITY'}
27810,{'stock': 'LARGE QUANTITY'}
27834,{'stock': 'LARGE QUANTITY'}
28011,{'stock': 'LARGE QUANTITY'}
28370,{'stock': 'LARGE QUANTITY'}
28385,{'stock': 'LARGE QUANTITY'}
28387,{'stock': 'OUT OF STOCK'}
28641,{'stock': 'LARGE QUANTITY'}
28710,{'stock': 'LARGE QUANTITY'}
29050,{'stock': 'MEDIUM QUANTITY'}
29210,{'stock': 'LARGE QUANTITY'}
29318,{'stock': 'LARGE QUANTITY'}
29319,{'stock': 'LARGE QUANTITY'}
29995,{'stock': 'SMALL QUANTITY'}
29997,{'stock': 'SMALL QUANTITY'}
30080,{'stock': 'LARGE QUANTITY'}
30150,{'stock': 'LARGE QUANTITY'}
30410,{'stock': 'LARGE QUANTITY'}
30430,{'stock': 'LARGE QUANTITY'}
30510,{'stock': 'LARGE QUANTITY'}
30520,{'stock': 'LARGE QUANTITY'}
30533,{'stock': 'LARGE QUANTITY'}
30536,{'stock': 'SMALL QUANTITY'}
32902,{'stock': 'LARGE QUANTITY'}
29404,{'stock': 'MEDIUM QUANTITY'}
33001,{'stock': 'LARGE QUANTITY'}
32999,{'stock': 'SMALL QUANTITY'}
33022,{'stock': 'SMALL QUANTITY'}
33127,{'stock': 'LARGE QUANTITY'}
33040,{'stock': 'OUT OF STOCK'}
33107,{'stock': 'LARGE QUANTITY'}
33300,{'stock': 'LARGE QUANTITY'}
33302,{'stock': 'LARGE QUANTITY'}
33535,{'stock': 'LARGE QUANTITY'}
33550,{'stock': 'LARGE QUANTITY'}
34207,{'stock': 'LARGE QUANTITY'}
34210,{'stock': 'LARGE QUANTITY'}
34245,{'stock': 'LARGE QUANTITY'}
33330,{'stock': 'OUT OF STOCK'}
35210,{'stock': 'LARGE QUANTITY'}
35353,{'stock': 'LARGE QUANTITY'}
35366,{'stock': 'OUT OF STOCK'}
35376,{'stock': 'OUT OF STOCK'}
35030,{'stock': 'SMALL QUANTITY'}
35032,{'stock': 'SMALL QUANTITY'}
35611,{'stock': 'MEDIUM QUANTITY'}
35751,{'stock': 'LARGE QUANTITY'}
35767,{'stock': 'LARGE QUANTITY'}
35782,{'stock': 'LARGE QUANTITY'}
35784,{'stock': 'LARGE QUANTITY'}
35790,{'stock': 'MEDIUM QUANTITY'}
35802,{'stock': 'OUT OF STOCK'}
35803,{'stock': 'LARGE QUANTITY'}
35824,{'stock': 'LARGE QUANTITY'}
35832,{'stock': 'LARGE QUANTITY'}
35864,{'stock': 'OUT OF STOCK'}
35876,{'stock': 'OUT OF STOCK'}
35916,{'stock': 'LARGE QUANTITY'}
35923,{'stock': 'LARGE QUANTITY'}
35932,{'stock': 'LARGE QUANTITY'}
35906,{'stock': 'OUT OF STOCK'}
35931,{'stock': 'LARGE QUANTITY'}
35962,{'stock': 'OUT OF STOCK'}
