model,quantity
85003,20
85040,100
85005,20
85030,100
85119,20
85172,100
85177,100
85178,20
86752,0
86770,0
87303,100
87353,100
87382,100
87411,100
87427,0
87451,100
88670,0
88780,100
88555,100
88715,100
88720,0
88842,100
88851,100
88902,100
88910,0
88920,100
88927,100
88963,100
88988,100
89020,100
89102,100
89000,100
89075,0
89220,100
89190,100
89202,100
89204,100
89213,100
89243,100
89248,100
89251,100
89257,100
89260,100
89261,0
89236,100
89331,0
89382,20
89387,20
89318,20
89319,0
89406,100
89443,100
89466,100
89481,100
89483,100
89507,100
89508,100
90030,100
90031,20
90180,20
90240,0
89516,100
89880,100
99036,100
99039,100
99054,100
99052,100
99119,100
99191,100
99230,0
99210,0
99209,100
99390,100
99403,100
99409,100
99426,0
99440,100
99442,100
99460,100
99461,100
99462,100
99534,20
99636,0
99654,0
99705,0
99707,0
99761,100
99782,100
99835,100
99840,100
99900,100
99912,20
99926,20
99512,0
GV-1220,0
GV-1385,0
GV-1386,0
GV-1582,0
TG-66809,0
YG-00005,20
YG-00011,0
YG-00017,0
YG-00024,100
YG-00025,20
YG-00026,20
YG-00040,100
YG-00042,100
YG-00047,0
YG-00045,20
YG-00055,100
YG-00062,100
YG-00255,100
YG-00292,100
YG-00341,0
YG-00343,100
YG-00355,100
YG-00274,100
YG-00403,100
YG-00461,100
YG-00462,100
YG-00390,100
YG-00425,100
YG-00510,100
YG-00526,0
YG-00602,100
YG-00605,100
YG-02035,0
YG-00553,100
YG-02030,100
YG-02075,100
YG-02077,100
YG-02056,0
YG-02087,100
YG-02227,0
YG-02248,0
YG-02411,20
YG-02430,20
YG-02461,100
YG-02520,0
YG-02595,0
YG-02736,100
YG-02778,0
YG-03006,0
YG-03023,0
YG-03059,0
YG-03065,0
YG-03126,0
YG-03128,0
YG-03149,100
YG-03150,20
YG-03143,20
YG-03215,0
YG-03216,100
YG-03218,100
YG-03255,0
YG-03266,0
YG-03270,0
YG-03272,20
YG-03275,0
YG-03349,0
YG-03350,100
YG-03396,0
YG-03420,0
YG-03421,0
YG-03428,0
YG-04145,0
YG-03425,20
YG-03426,20
YG-04301,100
YG-04585,0
YG-04587,20
YG-04617,20
YG-04634,20
YG-04660,20
YG-04980,100
YG-04735,0
YG-05021,0
YG-05040,0
YG-05056,20
YG-05068,0
YG-05180,0
YG-05201,0
YG-05232,0
YG-05310,0
YG-05360,0
YG-05403,100
YG-05406,0
YG-05411,0
YG-07130,0
YG-07141,0
YG-07139,100
YG-07284,100
YG-08900,0
YG-08991,0
YG-08947,0
YG-08948,0
YG-09000,20
YG-09053,100
YG-09031,0
YG-09041,20
YG-09090,20
YG-09106,20
YG-09201,20
YG-09233,0
YG-09102,100
YG-09334,100
YG-09337,20
YG-09550,0
YG-20001,0
YG-20002,0
YG-20012,0
YG-20018,100
YG-20030,20
YG-20020,0
YG-20034,0
YG-20038,0
YG-20171,0
YG-20300,0
YG-20302,0
YG-30904,20
YG-30923,100
YT-0010,0
YT-0011,0
YT-0032,0
YT-0012Z,0
YT-01335,100
YT-01339,100
YT-00767,100
YT-00768,100
YT-01675,100
YT-01853,100
YT-01909,100
YT-01872,100
YT-0193,100
YT-0199,100
YT-0232,0
YT-02331,0
YT-02332,0
YT-02374,100
YT-02379,100
YT-02385,100
YT-02390,0
YT-02396,100
YT-0294,100
YT-0312,100
YT-03316,100
YT-0339,100
YT-0349,100
YT-0368,100
YT-0371,100
YT-0377Z,0
YT-0384,100
YT-0390,100
YT-03950,0
YT-03952,0
YT-0404,100
YT-0407,100
YT-03956,0
YT-04306,100
YT-04318,100
YT-04342,100
YT-04360,100
YT-04387,100
YT-04397,100
YT-04411,100
YT-04582,100
YT-04622,0
YT-04629,100
YT-04632,100
YT-04645,100
YT-04394,0
YT-04644,100
YT-0472,100
YT-0466,100
YT-04762,100
YT-04782,100
YT-0509,100
YT-0512,100
YT-05220,100
YT-0487,100
YT-0491,100
YT-05221,100
YT-05249,0
YT-05313,0
YT-05430,100
YT-05450,100
YT-05456,0
YT-05457,0
YT-05465,0
YT-05494,100
YT-05498,100
YT-05501,100
YT-05503,0
YT-05515,100
YT-05453,100
YT-05454,0
YT-05520,0
YT-05521,100
YT-05522,100
YT-05577,0
YT-05592,100
YT-05632,100
YT-05644,100
YT-05800,20
YT-05802,20
YT-05817,100
YT-05830,100
YT-05890,100
YT-0590,100
YT-05997,100
YT-05999,0
YT-060226,0
YT-06023,100
YT-06024,100
YT-06031,100
YT-06032,100
YT-06037,100
YT-060393,100
YT-0607,100
YT-06082,100
YT-06123,100
YT-06256,100
YT-06311,0
YT-0632,100
YT-06325,100
YT-06328,100
YT-06341,100
YT-0636,100
YT-0638,0
